# file,G2,Na,Diversity,t1,t2,t3
../../aplicacao/cml/output-4.0/it38.csv,0.0,0.0,0.0,0.000107259,0.196119407,3.2444e-05
../../aplicacao/cml/output-4.0/it39.csv,0.0,0.0,0.0,0.000105185,0.196081037,3.3037e-05
../../aplicacao/cml/output-4.0/it40.csv,0.0,0.0,0.0,0.000107704,0.196102815,3.3185e-05
../../aplicacao/cml/output-4.0/it41.csv,0.0,0.0,0.0,0.000105629,0.196059407,3.3037e-05
../../aplicacao/cml/output-4.0/it42.csv,0.0,0.0,0.0,0.000105926,0.19603037,3.3037e-05
../../aplicacao/cml/output-4.0/it43.csv,0.0,0.0,0.0,0.000105778,0.196213333,3.2445e-05
../../aplicacao/cml/output-4.0/it44.csv,0.0,0.0,0.0,0.00010637,0.196123556,3.2296e-05
../../aplicacao/cml/output-4.0/it45.csv,0.0,0.0,0.0,0.000106075,0.196096149,3.2592e-05
../../aplicacao/cml/output-4.0/it46.csv,0.0,0.0,0.0,0.000106519,0.196099111,3.2888e-05
../../aplicacao/cml/output-4.0/it47.csv,0.0,0.0,0.0,0.000105778,0.19611926,3.2592e-05
../../aplicacao/cml/output-4.0/it48.csv,0.0,0.0,0.0,0.000106074,0.196146666,3.3037e-05
../../aplicacao/cml/output-4.0/it49.csv,0.0,0.0,0.0,0.000107259,0.196079112,3.2592e-05
../../aplicacao/cml/output-4.0/it50.csv,0.0,0.0,0.0,0.000106519,0.196098963,3.3037e-05
../../aplicacao/cml/output-4.0/it51.csv,0.0,0.0,0.0,0.000105926,0.196005778,3.2445e-05
../../aplicacao/cml/output-4.0/it52.csv,0.0,0.0,0.0,0.000106667,0.196162222,3.2e-05
../../aplicacao/cml/output-4.0/it53.csv,0.0,0.0,0.0,0.000106963,0.196090519,3.2297e-05
../../aplicacao/cml/output-4.0/it54.csv,0.0,0.0,0.0,0.000105629,0.196102963,3.2593e-05
../../aplicacao/cml/output-4.0/it55.csv,0.0,0.0,0.0,0.000107259,0.19616163,3.2445e-05
../../aplicacao/cml/output-4.0/it56.csv,0.0,0.0,0.0,0.000107111,0.196084445,3.2592e-05
